sentence,pred_sentence,sentence_tok,pred_sentence_tok,sentence_deepcut,pred_sentence_deepcut
และเขาก็สัมผัสดีบุก,และเขาก็สัมผัสดีบุ๊ค,และ เขา ก็ สัมผัส ดีบุก,และ เขา ก็ สัมผัส ดี บุ๊ค,และ เขา ก็ สัมผัส ดี บุก,และ เขา ก็ สัมผัส ดี บุ๊ค
คุณสามารถรับทราบเมื่อข้อความนี้ถูกอ่านแล้ว,คุณสามารถรับทราบเมื่อข้อความนี้ถูกอ่านแล้ว,คุณ สามารถ รับทราบ เมื่อ ข้อความ นี้ ถูก อ่าน แล้ว,คุณ สามารถ รับทราบ เมื่อ ข้อความ นี้ ถูก อ่าน แล้ว,คุณ สามารถ รับ ทราบ เมื่อ ข้อความ นี้ ถูก อ่าน แล้ว,คุณ สามารถ รับ ทราบ เมื่อ ข้อความ นี้ ถูก อ่าน แล้ว
คืนนี้ฉันต้องทำให้ได้เธอพูดกับตัวเองฉันต้องทำให้ได้,คืนนี้ฉันต้องทำให้ได้เธอพูดกับตัวเองฉันต้องทำให้ได้,คืนนี้ ฉัน ต้อง ทำ ให้ได้ เธอ พูด กับ ตัวเอง ฉัน ต้อง ทำ ให้ได้,คืนนี้ ฉัน ต้อง ทำ ให้ได้ เธอ พูด กับ ตัวเอง ฉัน ต้อง ทำ ให้ได้,คืน นี้ ฉัน ต้อง ทำ ให้ ได้ เธอ พูด กับ ตัว เอง ฉัน ต้อง ทำ ให้ ได้,คืน นี้ ฉัน ต้อง ทำ ให้ ได้ เธอ พูด กับ ตัว เอง ฉัน ต้อง ทำ ให้ ได้
การทำเช่นนี้จะทำให้แผ่นถ่ายภาพเกิดแสงฟลูออเรสเซนต์,การทำเช่นนี้จะทำให้แผ่นถ่ายภาพเกิดแสงตัวริมเส้น,การ ทำ เช่นนี้ จะ ทำให้ แผ่น ถ่ายภาพ เกิด แสง ฟลูออ เร ส เซนต์,การ ทำ เช่นนี้ จะ ทำให้ แผ่น ถ่ายภาพ เกิด แสง ตัว ริม เส้น,การ ทำ เช่น นี้ จะ ทำ ให้ แผ่น ถ่าย ภาพ เกิด แสง ฟลูออเรสเซนต์,การ ทำ เช่น นี้ จะ ทำ ให้ แผ่น ถ่าย ภาพ เกิด แสง ตัว ริม เส้น
ผู้ปกครองของฉันไม่สนใจความเห็นนี้อย่างละเอียดอ่อนโดยไม่ต้องตอบด้วยวาจาใดใด,ผู้ปกครองของฉันไม่สนใจความเห็นนี้อย่างละเอียดอ่อนโดยไม่ต้องตอบด้วยวาจาใดๆ,ผู้ปกครอง ของ ฉัน ไม่ สนใจ ความเห็น นี้ อย่าง ละเอียดอ่อน โดย ไม่ต้อง ตอบ ด้วย วาจา ใด ใด,ผู้ปกครอง ของ ฉัน ไม่ สนใจ ความเห็น นี้ อย่าง ละเอียดอ่อน โดย ไม่ต้อง ตอบ ด้วย วาจา ใดๆ,ผู้ ปกครอง ของ ฉัน ไม่ สนใจ ความ เห็น นี้ อย่าง ละเอียดอ่อน โดย ไม่ ต้อง ตอบ ด้วย วาจา ใด ใด,ผู้ ปกครอง ของ ฉัน ไม่ สนใจ ความ เห็น นี้ อย่าง ละเอียดอ่อน โดย ไม่ ต้อง ตอบ ด้วย วาจา ใด ๆ
หวังว่าเธอสบายดี,หวังว่าเธอสบายดี,หวัง ว่า เธอ สบายดี,หวัง ว่า เธอ สบายดี,หวัง ว่า เธอ สบายดี,หวัง ว่า เธอ สบายดี
ฉันเก่งในด้านการฟังอย่างคล่องแคล่ว,ฉันเก่งในด้านการฟังอย่างคล่องแคล่ว,ฉัน เก่ง ใน ด้าน การ ฟัง อย่าง คล่องแคล่ว,ฉัน เก่ง ใน ด้าน การ ฟัง อย่าง คล่องแคล่ว,ฉัน เก่ง ใน ด้าน การ ฟัง อย่าง คล่องแคล่ว,ฉัน เก่ง ใน ด้าน การ ฟัง อย่าง คล่องแคล่ว
มันหนักห้ากิโลกรัม,มันหนักห้ากิโลกรัม,มัน หนัก ห้า กิโลกรัม,มัน หนัก ห้า กิโลกรัม,มัน หนัก ห้า กิโลกรัม,มัน หนัก ห้า กิโลกรัม
มันไม่น่าจะเกิดขึ้นอีกครั้งกล่าวว่าฉันยิ้ม,มันไม่น่าจะเกิดขึ้นอีกครั้งกล่าวว่าฉันยิ้ม,มัน ไม่ น่าจะ เกิดขึ้น อีกครั้ง กล่าวว่า ฉัน ยิ้ม,มัน ไม่ น่าจะ เกิดขึ้น อีกครั้ง กล่าวว่า ฉัน ยิ้ม,มัน ไม่ น่า จะ เกิด ขึ้น อีก ครั้ง กล่าว ว่า ฉัน ยิ้ม,มัน ไม่ น่า จะ เกิด ขึ้น อีก ครั้ง กล่าว ว่า ฉัน ยิ้ม
เธอเดินออกจากห้องพิจารณาคดี,เธอเดินออกจากห้องพิจารณาคดี,เธอ เดิน ออกจาก ห้อง พิจารณาคดี,เธอ เดิน ออกจาก ห้อง พิจารณาคดี,เธอ เดิน ออก จาก ห้อง พิจารณา คดี,เธอ เดิน ออก จาก ห้อง พิจารณา คดี
