sentence,pred_sentence_tok
และเขาก็สัมผัสดีบุก,และ เขา ก็ สัมผัส ดีบุก
คุณสามารถรับทราบเมื่อข้อความนี้ถูกอ่านแล้ว,คุณ สามารถ รับทราบ เมื่อ ป้อความ นี้ ถูก อ่าน แล้ว
คืนนี้ฉันต้องทำให้ได้ เธอพูดกับตัวเอง ฉันต้องทำให้ได้,คืนนี้ ฉัน ต้อง ทำให้ได้   เธอ พูด กับ ตัวเอง   ฉัน ต้อง ทำให้ได้
การทำเช่นนี้จะทำให้แผ่นถ่ายภาพเกิดแสงฟลูออเรสเซนต์,การ ทำ เช่นนี้ จะ ทำให้ แผ่น ถ่ายภาพ เกิด แสง ปัว อ เรสเซนซ์
ผู้ปกครองของฉันไม่สนใจความเห็นนี้อย่างละเอียดอ่อนโดยไม่ต้องตอบด้วยวาจาใด ใด,ผู้ปกครอง ของ ฉัน ไม่ สนใจ ความเห็น นี้ อย่าง ละเอียดอ่อน โดย ไม่ต้อง ตอบ ด้วย ปัจจา ใด ใด
หวังว่าเธอสบายดี,หวัง ว่า เธอ สบายดี
ฉันเก่งในด้านการฟังอย่างคล่องแคล่ว,ฉัน เก่ง ใน ด้าน การ ฟัง อย่าง คล่องแคล่ว
มันหนักห้ากิโลกรัม,มัน หนัก   ห้า กิโลกรัม
มันไม่น่าจะเกิดขึ้นอีกครั้งกล่าวว่าฉันยิ้ม,มัน ไม่ น่าจะ เกิดขึ้น อีกครั้ง กล่าวว่า ฉัน ยิ้ม
เธอเดินออกจากห้องพิจารณาคดี,เธอ เดิน ออกจาก ห้อง พิจารณาคดี
พวกเขาพกขวานและเลื่อยเข้าไปในป่า,พวกเขา พกขวาน และ เลื่อย เข้าไป ใน ป่า
เขาอยู่บนเครื่องบิน,เขา อยู่ บน เครื่อง บิน
ตรวจสอบว่าไฟล์การกำหนดค่านั้นถูกต้องหรือไม่,ตรวจสอบ ว่า ไฟล์ การ กำหนุด ค่า นั้น ถูกต้อง หรือไม่
เขารับประทานอาหารจีนด้วยตะเกียบอย่างคล่องแคล่ว,เขา รับประทาน อาหารจีน ด้วย ต้ะเกียบ อย่าง คล่องแคล่ว
อวยพรคุณ,อวยพร คุณ
ป้าไปฝึกงานที่กรุงเทพ,ป้า เป็น ฝึกงาน ที่ กรุงเทพ
ฉันทนต่อการโกหกไม่ได้,ฉัน ทน ต่อ การ โกหก ไม่ ได้
งานของฉันต้องเดินทางบ่อย,งาน ของ ฉัน ต้อง เดินทาง บ่อย
ฉันรู้ ฉันรู้,ฉัน รู้   ฉัน รู้
พวกเรามีกระรอกมากเกินไป,พวกเรา มี กระรอก มากเกินไป
ฉันรู้ว่าเสียงของเขา,ฉัน รู้ ว่า เสียง ของ เขา
จากนั้นมาร์ธก็ตามไป,จากนั้น มาร์ธ ก็ตาม ไป
ฉันไม่ต้องการให้นึกถึงคำพูดของออกัสตัส,ฉัน ไม่ต้องการ ให้ นึกถึง คำพูด ของ ออ กัสตัส
ผู้เช่าจะจ่ายค่าเช่าตรงเวลาเสมอ,ผู้เช่า จะ จ่าย ค่าเช่า ตรงเวลา เสมอ
และถ้าหากมีอะไรเกิดขึ้นตอนที่เรากำลังกินอาหารอยู่ล่ะ,และ ทหาก มี อะไร เกิดขึ้น ตอนที เรา กำลัง กิน อาหาร อยู่ ล่ะ
ระวังในการถือสารเคมีที่มีฤทธิ์กัดกร่อนหรือระคายเคือง,ระวัง ใน การ ถือ สารเคมี ที่ มีฤทธิ์ กัดตร่อน หรือ ระคายเคือง
แต่ละคนมีพันธมิตร มันร้อง,แต่ละคน มี พันธมิตร   มัน ร้อง
ไม่มีอะไรยืดหยุ่นเหมือนกับใยแมงมุม,ไม่ มี อะไร ยืดหยุ่น เหมือนกับ ใยแมงมุม
นี่คือบ้านที่น่ากลัวมากนายกุปเปอร์พูดปิดหน้าต่าง,นี่ คือ บ้าน ที่ น่ากลัว มาก   นาย คู เปอร์ พูด ปิด หน้าต่าง
สะโพกของเขาชนกับเข่าของผู้เล่นคนถัดไป,สะโพก ของ เขา ชน กับ เข่า ของ ผู้ เล่น คน ถัดไป
เรือควรจะเทียบท่าภายในเจ็ดถึงสิบวัน,เรือ ควรจะ เทียบ ท่า ภายใน เจ็ด ถึง สิบ วัน
ในเมื่อไม่มี จะสูญเสียได้อย่างไร,ใน เมื่อ ไม่ มี  จะ สูญเสีย ได้ อย่างไร
ฉันอยากจะเป็นนักเขียนสิ่งตีพิมพ์ตอนที่โตเป็นผู้ใหญ่,ฉัน อยาก จะ เป็น นักเขียน สิ่ง ตีพิมพ์   ตอนที่ โต เป็นผู้ใหญ่
นี่จะทำให้โลกวุ่นวายมากขึ้น,นี่ จะ ทำให้ โลกวุ่นวาย มากขึ้น
เกิดเหตุร้ายที่งานเทศกาลศิลปะ,เกิด เหตุร้าย ที่ งานเทศกาล ศิลปะ
คุณจะปกป้องพวกเขาอย่างไร,คุณ จะ ปกป้อง พวกเขา อย่างไร
ฉันตีลังกาได้,ฉัน ตีนลังกา ได้
เสนาบดีกระทรวงการคลัง,เสนาบดี กระทรวงการคลัง
